Component,Explained Variance Ratio,Cumulative Variance Ratio
1,0.09168440910057184,0.09168440910057184
2,0.07493589498283225,0.16662030408340409
3,0.045460295841150106,0.2120805999245542
4,0.03915008067320398,0.25123068059775816
5,0.030091548549326313,0.2813222291470845
6,0.026760881275814958,0.30808311042289943
7,0.026366434295318035,0.3344495447182175
8,0.02143693550089533,0.3558864802191128
9,0.020549333023721812,0.3764358132428346
10,0.01901599133975146,0.39545180458258605
11,0.0186891168106387,0.4141409213932248
12,0.016927492141013842,0.43106841353423864
13,0.014662093336904838,0.44573050687114346
14,0.014211827121568444,0.4599423339927119
15,0.013218632310727538,0.47316096630343946
16,0.011596630976133024,0.48475759727957246
17,0.01097221627351233,0.49572981355308476
18,0.010359677622550655,0.5060894911756354
19,0.010105813439164113,0.5161953046147996
20,0.009761005667315156,0.5259563102821148
21,0.009481793055982944,0.5354381033380977
22,0.009159587083829659,0.5445976904219274
23,0.008995041773277299,0.5535927321952047
24,0.00806932715032545,0.5616620593455302
25,0.007840442433361837,0.569502501778892
26,0.0076046809950552794,0.5771071827739472
27,0.007459304832166875,0.5845664876061141
28,0.007330038095114948,0.591896525701229
29,0.007180276175342536,0.5990768018765715
30,0.006790541498779451,0.605867343375351
31,0.006442242174144989,0.612309585549496
32,0.006088869705542667,0.6183984552550387
33,0.006033002935785757,0.6244314581908245
34,0.00575771241113943,0.6301891706019639
35,0.005713620585687822,0.6359027911876517
36,0.00535208894839597,0.6412548801360477
37,0.005239470322679619,0.6464943504587273
38,0.005170581516407499,0.6516649319751348
39,0.005123034457653379,0.6567879664327881
40,0.005048593592360549,0.6618365600251487
41,0.0049497591996029095,0.6667863192247516
42,0.004818091482643886,0.6716044107073955
43,0.0047230266425703155,0.6763274373499658
44,0.004687659935865571,0.6810150972858314
45,0.0045556845969481,0.6855707818827795
46,0.004360043851244919,0.6899308257340244
47,0.0041960677804303015,0.6941268935144547
48,0.004156179107842358,0.698283072622297
49,0.004089734720811762,0.7023728073431088
50,0.004042690608596595,0.7064154979517054
51,0.003924130369287371,0.7103396283209928
52,0.0038606043515156956,0.7142002326725085
53,0.0038190922105278496,0.7180193248830364
54,0.003737852740072981,0.7217571776231094
55,0.0036080376456214245,0.7253652152687309
56,0.00357296506130192,0.7289381803300328
57,0.003500724579194615,0.7324389049092274
58,0.0034172804403391588,0.7358561853495665
59,0.0033899206287236333,0.7392461059782902
60,0.0033551368594948103,0.7426012428377851
61,0.003303494416389398,0.7459047372541745
62,0.0032812751885329854,0.7491860124427074
63,0.003202912175049863,0.7523889246177573
64,0.0031702418358225655,0.7555591664535799
65,0.003121341291776502,0.7586805077453564
66,0.0030139493461584636,0.761694457091515
67,0.002961144346606972,0.764655601438122
68,0.00292284134750511,0.767578442785627
69,0.0028839845155010637,0.7704624273011281
70,0.0028749926361151534,0.7733374199372433
71,0.0027759899517769047,0.7761134098890201
72,0.002751528687840098,0.7788649385768602
73,0.0027458753657708256,0.7816108139426311
74,0.002690149118835972,0.7843009630614671
75,0.0026698816526847164,0.7869708447141518
76,0.0026192966768136348,0.7895901413909654
77,0.0025683627817387096,0.7921585041727041
78,0.0024953155099298623,0.7946538196826339
79,0.002476099389605977,0.79712991907224
80,0.002445965312019558,0.7995758843842595
81,0.0024211358891004175,0.80199702027336
82,0.0023974122563552927,0.8043944325297152
83,0.0023332236033339017,0.8067276561330491
84,0.002317561844936771,0.8090452179779859
85,0.0022763949651803416,0.8113216129431663
86,0.002256970552410138,0.8135785834955764
87,0.0022089466684457235,0.8157875301640222
88,0.0021911339475490345,0.8179786641115712
89,0.002160824925542358,0.8201394890371135
90,0.0021061413076867348,0.8222456303448002
91,0.0020935815620798954,0.8243392119068802
92,0.002077890983963506,0.8264171028908437
93,0.0020623180011530105,0.8284794208919967
94,0.002037094253612796,0.8305165151456094
95,0.0020087677884999293,0.8325252829341093
96,0.0019835029337734833,0.8345087858678828
97,0.001962797820381077,0.8364715836882639
98,0.0019361823353976676,0.8384077660236616
99,0.0019072049596018871,0.8403149709832635
100,0.0018598368233947197,0.8421748078066582
